WARNING 2025-08-21 15:09:40,816 log 5948 12332 Forbidden: /api/calidad/no-conformidades/
WARNING 2025-08-21 15:09:40,819 basehttp 5948 12332 "POST /api/calidad/no-conformidades/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:09:40,866 log 5948 12332 Forbidden: /api/calidad/no-conformidades/
WARNING 2025-08-21 15:09:40,867 basehttp 5948 12332 "POST /api/calidad/no-conformidades/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:09:40,916 log 5948 12332 Forbidden: /api/ensayos/
WARNING 2025-08-21 15:09:40,919 basehttp 5948 12332 "POST /api/ensayos/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:09:40,962 log 5948 12332 Forbidden: /api/ensayos/
WARNING 2025-08-21 15:09:40,963 basehttp 5948 12332 "POST /api/ensayos/ HTTP/1.1" 403 65
INFO 2025-08-21 15:10:08,299 autoreload 5948 18556 C:\Users\Jesus Diaz\PoliLims\PoliLims\backend\accounts\views.py changed, reloading.
INFO 2025-08-21 15:10:10,205 autoreload 18928 17652 Watching for file changes with StatReloader
INFO 2025-08-21 15:10:57,703 autoreload 18928 17652 C:\Users\Jesus Diaz\PoliLims\PoliLims\backend\accounts\views.py changed, reloading.
INFO 2025-08-21 15:11:00,089 autoreload 19524 11544 Watching for file changes with StatReloader
INFO 2025-08-21 15:11:28,161 autoreload 19524 11544 C:\Users\Jesus Diaz\PoliLims\PoliLims\backend\equipos\views.py changed, reloading.
INFO 2025-08-21 15:11:29,855 autoreload 21484 10468 Watching for file changes with StatReloader
INFO 2025-08-21 15:12:38,736 autoreload 21484 10468 C:\Users\Jesus Diaz\PoliLims\PoliLims\backend\proveedores\views.py changed, reloading.
INFO 2025-08-21 15:12:41,250 autoreload 16148 4904 Watching for file changes with StatReloader
INFO 2025-08-21 15:13:57,362 autoreload 16148 4904 C:\Users\Jesus Diaz\PoliLims\PoliLims\backend\calidad\views.py changed, reloading.
INFO 2025-08-21 15:14:01,667 autoreload 8448 15868 Watching for file changes with StatReloader
INFO 2025-08-21 15:14:37,388 autoreload 8448 15868 C:\Users\Jesus Diaz\PoliLims\PoliLims\backend\calidad\views.py changed, reloading.
INFO 2025-08-21 15:14:39,948 autoreload 15772 10028 Watching for file changes with StatReloader
INFO 2025-08-21 15:15:09,900 autoreload 15772 10028 C:\Users\Jesus Diaz\PoliLims\PoliLims\backend\ensayos\views.py changed, reloading.
INFO 2025-08-21 15:15:11,837 autoreload 11492 7588 Watching for file changes with StatReloader
INFO 2025-08-21 15:15:58,254 basehttp 11492 8592 "GET /api/health/ HTTP/1.1" 200 130
WARNING 2025-08-21 15:15:58,386 log 11492 8592 Forbidden: /api/auth/users/
WARNING 2025-08-21 15:15:58,391 basehttp 11492 8592 "POST /api/auth/users/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:15:58,442 log 11492 8592 Forbidden: /api/auth/users/
WARNING 2025-08-21 15:15:58,444 basehttp 11492 8592 "POST /api/auth/users/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:15:58,502 log 11492 8592 Forbidden: /api/equipos/
WARNING 2025-08-21 15:15:58,507 basehttp 11492 8592 "POST /api/equipos/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:15:58,557 log 11492 8592 Forbidden: /api/equipos/
WARNING 2025-08-21 15:15:58,560 basehttp 11492 8592 "POST /api/equipos/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:15:58,602 log 11492 8592 Forbidden: /api/proveedores/
WARNING 2025-08-21 15:15:58,607 basehttp 11492 8592 "POST /api/proveedores/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:15:58,645 log 11492 8592 Forbidden: /api/proveedores/
WARNING 2025-08-21 15:15:58,646 basehttp 11492 8592 "POST /api/proveedores/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:15:58,690 log 11492 8592 Forbidden: /api/calidad/no-conformidades/
WARNING 2025-08-21 15:15:58,694 basehttp 11492 8592 "POST /api/calidad/no-conformidades/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:15:58,781 log 11492 8592 Forbidden: /api/calidad/no-conformidades/
WARNING 2025-08-21 15:15:58,782 basehttp 11492 8592 "POST /api/calidad/no-conformidades/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:15:58,840 log 11492 8592 Forbidden: /api/ensayos/
WARNING 2025-08-21 15:15:58,843 basehttp 11492 8592 "POST /api/ensayos/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:15:58,880 log 11492 8592 Forbidden: /api/ensayos/
WARNING 2025-08-21 15:15:58,881 basehttp 11492 8592 "POST /api/ensayos/ HTTP/1.1" 403 65
INFO 2025-08-21 15:17:45,534 basehttp 11492 9396 "GET /api/health/ HTTP/1.1" 200 130
WARNING 2025-08-21 15:17:45,662 log 11492 9396 Forbidden: /api/auth/users/
WARNING 2025-08-21 15:17:45,665 basehttp 11492 9396 "POST /api/auth/users/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:17:45,721 log 11492 9396 Forbidden: /api/auth/users/
WARNING 2025-08-21 15:17:45,726 basehttp 11492 9396 "POST /api/auth/users/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:17:45,782 log 11492 9396 Forbidden: /api/equipos/
WARNING 2025-08-21 15:17:45,784 basehttp 11492 9396 "POST /api/equipos/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:17:45,839 log 11492 9396 Forbidden: /api/equipos/
WARNING 2025-08-21 15:17:45,844 basehttp 11492 9396 "POST /api/equipos/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:17:45,909 log 11492 9396 Forbidden: /api/proveedores/
WARNING 2025-08-21 15:17:45,916 basehttp 11492 9396 "POST /api/proveedores/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:17:45,970 log 11492 9396 Forbidden: /api/proveedores/
WARNING 2025-08-21 15:17:45,974 basehttp 11492 9396 "POST /api/proveedores/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:17:46,015 log 11492 9396 Forbidden: /api/calidad/no-conformidades/
WARNING 2025-08-21 15:17:46,017 basehttp 11492 9396 "POST /api/calidad/no-conformidades/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:17:46,064 log 11492 9396 Forbidden: /api/calidad/no-conformidades/
WARNING 2025-08-21 15:17:46,068 basehttp 11492 9396 "POST /api/calidad/no-conformidades/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:17:46,120 log 11492 9396 Forbidden: /api/ensayos/
WARNING 2025-08-21 15:17:46,147 basehttp 11492 9396 "POST /api/ensayos/ HTTP/1.1" 403 65
WARNING 2025-08-21 15:17:46,189 log 11492 9396 Forbidden: /api/ensayos/
WARNING 2025-08-21 15:17:46,192 basehttp 11492 9396 "POST /api/ensayos/ HTTP/1.1" 403 65
INFO 2025-08-21 15:17:53,482 autoreload 12696 20796 Watching for file changes with StatReloader
INFO 2025-08-21 15:19:45,223 autoreload 21092 5296 Watching for file changes with StatReloader
INFO 2025-08-21 15:43:29,337 autoreload 11996 12468 Watching for file changes with StatReloader
INFO 2025-08-21 15:49:34,369 autoreload 8480 14532 Watching for file changes with StatReloader
INFO 2025-08-21 16:02:58,212 autoreload 13060 14052 Watching for file changes with StatReloader
INFO 2025-08-21 16:11:31,652 autoreload 16536 11692 Watching for file changes with StatReloader
