Producto	Material	Línea	D nominal (mm)	Largo (m)	PN - Serie	D mínimo (mm)	D máximo (mm)	Espesor mínimo (mm)	Espesor máximo (mm)	Peso (kg/m)	Desv. Peso debajo	Desv. Peso arriba	Ovalidad (mm)	PHI 20°C (bar)	T Horno (°C)	Tiempo acond. (h)	Color Tubería	Color Línea
63mm x 100m HDPE PN-6 SDR-27,6	PE100	HDPE	63	100	PN-6 SDR-27,6	63,0	63,4	2,3	2,8	0,463969	0,418860	0,509077	1,5	9,3	110	1	NEGRO	AZUL
63mm x 150m HDPE PN-6 SDR-27,6	PE100	HDPE	63	150	PN-6 SDR-27,6	63,0	63,4	2,3	2,8	0,463969	0,418860	0,509077	1,5	9,3	110	1	NEGRO	AZUL
63mm x 200m HDPE PN-6 SDR-27,6	PE100	HDPE	63	200	PN-6 SDR-27,6	63,0	63,4	2,3	2,8	0,463969	0,418860	0,509077	1,5	9,3	110	1	NEGRO	AZUL
63mm x 6m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	63	6	PN-6 SDR-27,6	63,0	63,4	2,3	2,8	0,463969	0,418860	0,509077	1,5	9,3	110	1		
63mm x 12m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	63	12	PN-6 SDR-27,6	63,0	63,4	2,3	2,8	0,463969	0,418860	0,509077	1,5	9,3	110	1		
63mm x 50m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	63	50	PN-6 SDR-27,6	63,0	63,4	2,3	2,8	0,463969	0,418860	0,509077	1,5	9,3	110	1		
63mm x 100m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	63	100	PN-6 SDR-27,6	63,0	63,4	2,3	2,8	0,463969	0,418860	0,509077	1,5	9,3	110	1		
63mm x 150m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	63	150	PN-6 SDR-27,6	63,0	63,4	2,3	2,8	0,463969	0,418860	0,509077	1,5	9,3	110	1		
63mm x 200m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	63	200	PN-6 SDR-27,6	63,0	63,4	2,3	2,8	0,463969	0,418860	0,509077	1,5	9,3	110	1		
63mm x 6m HDPE PN-20 SDR-9	PE100	HDPE	63	6	PN-20 SDR-9	63,0	63,4	7,1	8,0	1,260227	1,190757	1,329697	1,5	31	110	1	NEGRO	AZUL
63mm x 12m HDPE PN-20 SDR-9	PE100	HDPE	63	12	PN-20 SDR-9	63,0	63,4	7,1	8,0	1,260227	1,190757	1,329697	1,5	31	110	1	NEGRO	AZUL
63mm x 50m HDPE PN-20 SDR-9	PE100	HDPE	63	50	PN-20 SDR-9	63,0	63,4	7,1	8,0	1,260227	1,190757	1,329697	1,5	31	110	1	NEGRO	AZUL
63mm x 100m HDPE PN-20 SDR-9	PE100	HDPE	63	100	PN-20 SDR-9	63,0	63,4	7,1	8,0	1,260227	1,190757	1,329697	1,5	31	110	1	NEGRO	AZUL
63mm x 150m HDPE PN-20 SDR-9	PE100	HDPE	63	150	PN-20 SDR-9	63,0	63,4	7,1	8,0	1,260227	1,190757	1,329697	1,5	31	110	1	NEGRO	AZUL
63mm x 200m HDPE PN-20 SDR-9	PE100	HDPE	63	200	PN-20 SDR-9	63,0	63,4	7,1	8,0	1,260227	1,190757	1,329697	1,5	31	110	1	NEGRO	AZUL
63mm x 6m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	63	6	PN-20 SDR-9	63,0	63,4	7,1	8,0	1,260227	1,190757	1,329697	1,5	31	110	1		
63mm x 12m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	63	12	PN-20 SDR-9	63,0	63,4	7,1	8,0	1,260227	1,190757	1,329697	1,5	31	110	1		
63mm x 50m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	63	50	PN-20 SDR-9	63,0	63,4	7,1	8,0	1,260227	1,190757	1,329697	1,5	31	110	1		
63mm x 100m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	63	100	PN-20 SDR-9	63,0	63,4	7,1	8,0	1,260227	1,190757	1,329697	1,5	31	110	1		
63mm x 150m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	63	150	PN-20 SDR-9	63,0	63,4	7,1	8,0	1,260227	1,190757	1,329697	1,5	31	110	1		
63mm x 200m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	63	200	PN-20 SDR-9	63,0	63,4	7,1	8,0	1,260227	1,190757	1,329697	1,5	31	110	1		
63mm x 6m HDPE PN-16 SDR-11	PE100	HDPE	63	6	PN-16 SDR-11	63,0	63,4	5,8	6,5	1,052492	0,995352	1,109631	1,5	24,8	110	1	NEGRO	AZUL
63mm x 12m HDPE PN-16 SDR-11	PE100	HDPE	63	12	PN-16 SDR-11	63,0	63,4	5,8	6,5	1,052492	0,995352	1,109631	1,5	24,8	110	1	NEGRO	AZUL
63mm x 50m HDPE PN-16 SDR-11	PE100	HDPE	63	50	PN-16 SDR-11	63,0	63,4	5,8	6,5	1,052492	0,995352	1,109631	1,5	24,8	110	1	NEGRO	AZUL
63mm x 100m HDPE PN-16 SDR-11	PE100	HDPE	63	100	PN-16 SDR-11	63,0	63,4	5,8	6,5	1,052492	0,995352	1,109631	1,5	24,8	110	1	NEGRO	AZUL
63mm x 150m HDPE PN-16 SDR-11	PE100	HDPE	63	150	PN-16 SDR-11	63,0	63,4	5,8	6,5	1,052492	0,995352	1,109631	1,5	24,8	110	1	NEGRO	AZUL
63mm x 200m HDPE PN-16 SDR-11	PE100	HDPE	63	200	PN-16 SDR-11	63,0	63,4	5,8	6,5	1,052492	0,995352	1,109631	1,5	24,8	110	1	NEGRO	AZUL
63mm x 6m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	63	6	PN-16 SDR-11	63,0	63,4	5,8	6,5	1,052492	0,995352	1,109631	1,5	24,8	110	1		
63mm x 12m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	63	12	PN-16 SDR-11	63,0	63,4	5,8	6,5	1,052492	0,995352	1,109631	1,5	24,8	110	1		
63mm x 50m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	63	50	PN-16 SDR-11	63,0	63,4	5,8	6,5	1,052492	0,995352	1,109631	1,5	24,8	110	1		
63mm x 100m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	63	100	PN-16 SDR-11	63,0	63,4	5,8	6,5	1,052492	0,995352	1,109631	1,5	24,8	110	1		
63mm x 150m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	63	150	PN-16 SDR-11	63,0	63,4	5,8	6,5	1,052492	0,995352	1,109631	1,5	24,8	110	1		
6-3mm x 200m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	63	200	PN-16 SDR-11	63,0	63,4	5,8	6,5	1,052492	0,995352	1,109631	1,5	24,8	110	1		
63mm x 6m HDPE PN-12,5 SDR-13,6	PE100	HDPE	63	6	PN-12,5 SDR-13,6	63,0	63,4	4,7	5,3	0,872974	0,822090	0,923857	1,5	19,7	110	1	NEGRO	AZUL
63mm x 12m HDPE PN-12,5 SDR-13,6	PE100	HDPE	63	12	PN-12,5 SDR-13,6	63,0	63,4	4,7	5,3	0,872974	0,822090	0,923857	1,5	19,7	110	1	NEGRO	AZUL
63mm x 50m HDPE PN-12,5 SDR-13,6	PE100	HDPE	63	50	PN-12,5 SDR-13,6	63,0	63,4	4,7	5,3	0,872974	0,822090	0,923857	1,5	19,7	110	1	NEGRO	AZUL
63mm x 100m HDPE PN-12,5 SDR-13,6	PE100	HDPE	63	100	PN-12,5 SDR-13,6	63,0	63,4	4,7	5,3	0,872974	0,822090	0,923857	1,5	19,7	110	1	NEGRO	AZUL
63mm x 150m HDPE PN-12,5 SDR-13,6	PE100	HDPE	63	150	PN-12,5 SDR-13,6	63,0	63,4	4,7	5,3	0,872974	0,822090	0,923857	1,5	19,7	110	1	NEGRO	AZUL
63mm x 200m HDPE PN-12,5 SDR-13,6	PE100	HDPE	63	200	PN-12,5 SDR-13,6	63,0	63,4	4,7	5,3	0,872974	0,822090	0,923857	1,5	19,7	110	1	NEGRO	AZUL
63mm x 6m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	63	6	PN-12,5 SDR-13,6	63,0	63,4	4,7	5,3	0,872974	0,822090	0,923857	1,5	19,7	110	1		
63mm x 12m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	63	12	PN-12,5 SDR-13,6	63,0	63,4	4,7	5,3	0,872974	0,822090	0,923857	1,5	19,7	110	1		
63mm x 50m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	63	50	PN-12,5 SDR-13,6	63,0	63,4	4,7	5,3	0,872974	0,822090	0,923857	1,5	19,7	110	1		
63mm x 100m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	63	100	PN-12,5 SDR-13,6	63,0	63,4	4,7	5,3	0,872974	0,822090	0,923857	1,5	19,7	110	1		
63mm x 150m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	63	150	PN-12,5 SDR-13,6	63,0	63,4	4,7	5,3	0,872974	0,822090	0,923857	1,5	19,7	110	1		
63mm x 200m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	63	200	PN-12,5 SDR-13,6	63,0	63,4	4,7	5,3	0,872974	0,822090	0,923857	1,5	19,7	110	1		
63mm x 6m HDPE PN-10 SDR-17	PE100	HDPE	63	6	PN-10 SDR-17	63,0	63,4	3,8	4,3	0,718687	0,674929	0,762446	1,5	15,5	110	1	NEGRO	AZUL
63mm x 12m HDPE PN-10 SDR-17	PE100	HDPE	63	12	PN-10 SDR-17	63,0	63,4	3,8	4,3	0,718687	0,674929	0,762446	1,5	15,5	110	1	NEGRO	AZUL
63mm x 50m HDPE PN-10 SDR-17	PE100	HDPE	63	50	PN-10 SDR-17	63,0	63,4	3,8	4,3	0,718687	0,674929	0,762446	1,5	15,5	110	1	NEGRO	AZUL
63mm x 100m HDPE PN-10 SDR-17	PE100	HDPE	63	100	PN-10 SDR-17	63,0	63,4	3,8	4,3	0,718687	0,674929	0,762446	1,5	15,5	110	1	NEGRO	AZUL
63mm x 150m HDPE PN-10 SDR-17	PE100	HDPE	63	150	PN-10 SDR-17	63,0	63,4	3,8	4,3	0,718687	0,674929	0,762446	1,5	15,5	110	1	NEGRO	AZUL
63mm x 200m HDPE PN-10 SDR-17	PE100	HDPE	63	200	PN-10 SDR-17	63,0	63,4	3,8	4,3	0,718687	0,674929	0,762446	1,5	15,5	110	1	NEGRO	AZUL
63mm x 6m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	63	6	PN-10 SDR-17	63,0	63,4	3,8	4,3	0,718687	0,674929	0,762446	1,5	15,5	110	1		
63mm x 12m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	63	12	PN-10 SDR-17	63,0	63,4	3,8	4,3	0,718687	0,674929	0,762446	1,5	15,5	110	1		
63mm x 50m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	63	50	PN-10 SDR-17	63,0	63,4	3,8	4,3	0,718687	0,674929	0,762446	1,5	15,5	110	1		
63mm x 100m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	63	100	PN-10 SDR-17	63,0	63,4	3,8	4,3	0,718687	0,674929	0,762446	1,5	15,5	110	1		
63mm x 150m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	63	150	PN-10 SDR-17	63,0	63,4	3,8	4,3	0,718687	0,674929	0,762446	1,5	15,5	110	1		
63mm x 200m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	63	200	PN-10 SDR-17	63,0	63,4	3,8	4,3	0,718687	0,674929	0,762446	1,5	15,5	110	1		
63mm x 6m BETA/FIBRA PN-16 S-3,2	PP-RCT/FV	BETA/FIBRA	63	6	PN-16 S-3,2	63,1	63,6	8,6	9,6	1,457500	1,3841	1,5309	1,5	47	135	2	GRIS(BETA)	NARANJA
63mm x 6m BETA/FIBRA PN-12,5 S-4	PP-RCT/FV	BETA/FIBRA	63	6	PN-12,5 S-4	63,1	63,6	7,1	8,0	1,243843	1,1742	1,3135	1,5	38	135	1	GRIS(BETA)	NARANJA
63mm x 6m BETA/FIBRA PN-10 S-5	PP-RCT/FV	BETA/FIBRA	63	6	PN-10 S-5	63,1	63,6	5,8	6,5	1,038736	0,9814	1,0960	1,5	30	135	1	GRIS(BETA)	NARANJA
63mm x 6m BETA PN-16 S-3,2	PP-RCT	BETA	63	6	PN-16 S-3,2	63,1	63,6	8,6	9,6	1,397029	1,3267	1,4674	1,5	47	135	2	GRIS(BETA)	ROJO
63mm x 6m BETA PN-12,5 S-4	PP-RCT	BETA	63	6	PN-12,5 S-4	63,1	63,6	7,1	8,0	1,192237	1,1254	1,2590	1,5	38	135	1	GRIS(BETA)	BLANCO
63mm x 6m BETA PN-10 S-5	PP-RCT	BETA	63	6	PN-10 S-5	63,1	63,6	5,8	6,5	0,995640	0,9407	1,0506	1,5	30	135	1	GRIS(BETA)	AZUL
63mm x 5m R3 PN-20 S-2,5	PP-R	R3	63	5	PN-20 S-2,5	63,1	63,6	10,5	11,7	1,648352	1,5703	1,7264	1,5	64	135	2	GRIS(R3)	VERDE
63mm x 5m R3 PN-16 S-3,2	PP-R	R3	63	5	PN-16 S-3,2	63,1	63,6	8,6	9,6	1,403231	1,3326	1,4739	1,5	50	135	2	GRIS(R3)	ROJO
63mm x 5m R3 PN-10 S-5	PP-R	R3	63	5	PN-10 S-5	63,1	63,6	5,8	6,5	1,000060	0,9449	1,0552	1,5	32	135	1	GRIS(R3)	AZUL
63mm x 5m POLI-ONE PN-16 S-3,2	PP-R	POLI-ONE	63	5	PN-16 S-3,2	63,1	63,6	8,6	9,6	1,403231	1,3326	1,4739	1,5	50	135	2	GRIS(P1)	ROJO
63mm x 5m POLI-ONE PN-10 S-5	PP-R	POLI-ONE	63	5	PN-10 S-5	63,1	63,6	5,8	6,5	1,000060	0,9449	1,0552	1,5	32	135	1	GRIS(P1)	AZUL
63mm x 5m BETA/FIBRA PN-16 S-3,2	PP-RCT/FV	BETA/FIBRA	63	5	PN-16 S-3,2	63,1	63,6	8,6	9,6	1,457500	1,3841	1,5309	1,5	47	135	2	GRIS(BETA)	NARANJA
63mm x 5m BETA/FIBRA PN-10 S-5	PP-RCT/FV	BETA/FIBRA	63	5	PN-10 S-5	63,1	63,6	5,8	6,5	1,038736	0,9814	1,0960	1,5	30	135	1	GRIS(BETA)	NARANJA
63mm x 5m BETA PN-10 S-5	PP-RCT	BETA	63	5	PN-10 S-5	63,1	63,6	5,8	6,5	0,995640	0,9407	1,0506	1,5	30	135	1	GRIS(BETA)	AZUL
50mm x 6m R3 PN-20 S-2,5	PP-R	R3	50	6	PN-20 S-2,5	50,1	50,5	8,3	9,3	1,037888	0,9864	1,0894	1,4	64	135	2	GRIS(R3)	VERDE
50mm x 6m R3 PN-16 S-3,2	PP-R	R3	50	6	PN-16 S-3,2	50,1	50,5	6,9	7,7	0,892234	0,8475	0,9370	1,4	50	135	1	GRIS(R3)	ROJO
50mm x 6m PP-H PN-10 S-5	PP-H	PP-H	50	6	PN-10 S-5	50,1	50,5	4,6	5,2	0,632399	0,5951	0,6697	1,4	32	150	1	GRIS(PP-H)	SIN LÍNEA
50mm x 6m R3 PN-10 S-5	PP-R	R3	50	6	PN-10 S-5	50,1	50,5	4,6	5,2	0,632399	0,5951	0,6697	1,4	32	135	1	GRIS(R3)	AZUL
50mm x 6m PVDF PN-20	PVDF	PVDF	50	6	PN-20	50,0	50,4	3,0	3,6	0,865311	0,7885	0,9421				1	BLANCO(PVDF)	SIN LÍNEA
50mm x 6m PP-R/FIBRA PN-16 S-3,2	PP-RCT/FV	PP-R/FIBRA	50	6	PN-16 S-3,2	50,1	50,5	6,9	7,7	0,926740	0,8803	0,9732	1,4	50	135	1	GRIS(R3)	NARANJA
50mm x 6m SMART PIPE/PP-RCT PN-16 S-3,2	PP-RCT	SMART PIPE/PP-RCT	50	6	PN-16 S-3,2	50,1	50,5	6,9	7,7	0,888290	0,8437	0,9328	1,4	47	135	1	GRIS(BETA)	ROJO
50mm x 6m POLI-ONE/BETA PN-16 S-3,2	PP-RCT	POLI-ONE/BETA	50	6	PN-16 S-3,2	50,1	50,5	6,9	7,7	0,888290	0,8437	0,9328	1,4	47	135	1	GRIS(P1)	ROJO
90mm x 6m PPR-DG PN-20 S-2,5 MC	PP-R	PPR-DG	90	6	PN-20 S-2,5	90,1	90,9	15,0	16,6	3,354733	3,2028	3,5067	1,8	64	135	2	GRIS(BETA)	VERDE
75mm x 6m PPR-DG PN-16 S-3,2 MC	PP-R	PPR-DG	75	6	PN-16 S-3,2	75,1	75,7	10,3	11,5	1,998357	1,8976	2,0991	1,6	50	135	2	GRIS(BETA)	ROJO
75mm x 6m PPR-DG PN-20 S-2,5 MC	PP-R	PPR-DG	75	6	PN-20 S-2,5	75,1	75,7	12,7	14,1	2,361284	2,2531	2,4694	1,6	64	135	2	GRIS(BETA)	VERDE
50mm x 6m PPR-DG PN-20 S-2,5 MC	PP-R	PPR-DG	50	6	PN-20 S-2,5	50,1	50,5	8,3	9,3	1,037888	0,9864	1,0894	1,4	64	135	2	GRIS(BETA)	VERDE
50mm x 6m POLI-ONE PN-20 S-2,5	PP-R	POLI-ONE	50	6	PN-20 S-2,5	50,1	50,5	8,3	9,3	1,037888	0,9864	1,0894	1,4	64	135	2	GRIS(P1)	VERDE
50mm x 6m PPR- DG PN-16 S-3,2 MC	PP-R	PPR-DG	50	6	PN-16 S-3,2	50,1	50,5	6,9	7,7	0,892234	0,8475	0,9370	1,4	50	135	1	GRIS(BETA)	ROJO
50mm x 6m POLI-ONE PN-10 S-5	PP-R	POLI-ONE	50	6	PN-10 S-5	50,1	50,5	4,6	5,2	0,632399	0,5951	0,6697	1,4	32	135	1	GRIS(P1)	AZUL
50mm x 6,7m HDPE PN-6 SDR-27,6	PE100	HDPE	50	5,7	PN-6 SDR-27,6	50,0	50,4	2,0	2,3	0,309968	0,288021	0,331914	1,4	9,3	110	1	NEGRO	AZUL
50mm x 6m HDPE PN-8 SDR-21	PE100	HDPE	50	6	PN-8 SDR-21	50,0	50,4	2,4	2,8	0,371307	0,342745	0,399869	1,4	12,4	110	1	NEGRO	AZUL
50mm x 12m HDPE PN-8 SDR-21	PE100	HDPE	50	12	PN-8 SDR-21	50,0	50,4	2,4	2,8	0,371307	0,342745	0,399869	1,4	12,4	110	1	NEGRO	AZUL
50mm x 5,7m HDPE PN-6 SDR-27,6	PE100	HDPE	50	50	PN-6 SDR-27,6	50,0	50,4	2,0	2,3	0,309968	0,288021	0,331914	1,4	9,3	110	1	NEGRO	AZUL
50mm x 100m HDPE PN6 SDR-27,6	PE100	HDPE	50	50	PN-6 SDR-27,6	50,0	50,4	2,0	2,3	0,309968	0,288021	0,331914	1,4	9,3	110	1	NEGRO	AZUL
50mm x 50m HDPE PN-8 SDR-21	PE100	HDPE	50	50	PN-8 SDR-21	50,0	50,4	2,4	2,8	0,371307	0,342745	0,399869	1,4	12,4	110	1	NEGRO	AZUL
50mm x 100m HDPE PN-8 SDR-21	PE100	HDPE	50	100	PN-8 SDR-21	50,0	50,4	2,4	2,8	0,371307	0,342745	0,399869	1,4	12,4	110	1	NEGRO	AZUL
50mm x 150m HDPE PN-8 SDR-21	PE100	HDPE	50	150	PN-8 SDR-21	50,0	50,4	2,4	2,8	0,371307	0,342745	0,399869	1,4	12,4	110	1	NEGRO	AZUL
50mm x 200m HDPE PN-8 SDR-21	PE100	HDPE	50	200	PN-8 SDR-21	50,0	50,4	2,4	2,8	0,371307	0,342745	0,399869	1,4	12,4	110	1	NEGRO	AZUL
50mm x 6m SMARTCOLORS PN-8 SDR-21	PE100	SMARTCOLORS - HDPE	50	6	PN-8 SDR-21	50,0	50,4	2,4	2,8	0,371307	0,342745	0,399869	1,4	12,4	110	1		
50mm x 12m SMARTCOLORS PN-8 SDR-21	PE100	SMARTCOLORS - HDPE	50	12	PN-8 SDR-21	50,0	50,4	2,4	2,8	0,371307	0,342745	0,399869	1,4	12,4	110	1		
50mm x 50m SMARTCOLORS PN-8 SDR-21	PE100	SMARTCOLORS - HDPE	50	50	PN-8 SDR-21	50,0	50,4	2,4	2,8	0,371307	0,342745	0,399869	1,4	12,4	110	1		
50mm x 100m SMARTCOLORS PN-8 SDR-21	PE100	SMARTCOLORS - HDPE	50	100	PN-8 SDR-21	50,0	50,4	2,4	2,8	0,371307	0,342745	0,399869	1,4	12,4	110	1		
50mm x 150m SMARTCOLORS PN-8 SDR-21	PE100	SMARTCOLORS - HDPE	50	150	PN-8 SDR-21	50,0	50,4	2,4	2,8	0,371307	0,342745	0,399869	1,4	12,4	110	1		
50mm x 200m SMARTCOLORS PN-8 SDR-21	PE100	SMARTCOLORS - HDPE	50	200	PN-8 SDR-21	50,0	50,4	2,4	2,8	0,371307	0,342745	0,399869	1,4	12,4	110	1		
50mm x 6m HDPE PN-16 SDR-11	PE100	HDPE	50	6	PN-16 SDR-11	50,0	50,4	4,6	5,2	0,665868	0,626566	0,705171	1,4	24,8	110	1	NEGRO	AZUL
50mm x 200m HDPE PN-20 SDR-9	PE100	HDPE	50	200	PN-20 SDR-9	50,0	50,4	5,6	6,3	0,789763	0,745974	0,833551	1,4	31,0	110	1	NEGRO	SIN LÍNEA
50mm x 50m HDPE PN-20 SDR-9	PE100	HDPE	50	50	PN-20 SDR-9	50,0	50,4	5,6	6,3	0,789763	0,745974	0,833551	1,4	31,0	110	1	NEGRO	SIN LÍNEA
50mm x 12m HDPE PN-16 SDR-11	PE100	HDPE	50	12	PN-16 SDR-11	50,0	50,4	4,6	5,2	0,665868	0,626566	0,705171	1,4	24,8	110	1	NEGRO	AZUL
50mm x 150m HDPE PN-20 SDR-9	PE100	HDPE	50	150	PN-20 SDR-9	50,0	50,4	5,6	6,3	0,789763	0,745974	0,833551	1,4	31,0	110	1	NEGRO	SIN LÍNEA
50mm x 100m HDPE PN-20 SDR-9	PE100	HDPE	50	100	PN-20 SDR-9	50,0	50,4	5,6	6,3	0,789763	0,745974	0,833551	1,4	31,0	110	1	NEGRO	SIN LÍNEA
50mm x 12m HDPE PN-20 SDR-9	PE100	HDPE	50	12	PN-20 SDR-9	50,0	50,4	5,6	6,3	0,789763	0,745974	0,833551	1,4	31,0	110	1	NEGRO	SIN LÍNEA
50mm x 6m HDPE PN-20 SDR-9	PE100	HDPE	50	6	PN-20 SDR-9	50,0	50,4	5,6	6,3	0,789763	0,745974	0,833551	1,4	31,0	110	1	NEGRO	SIN LÍNEA
50mm x 50m HDPE PN-16 SDR-11	PE100	HDPE	50	50	PN-16 SDR-11	50,0	50,4	4,6	5,2	0,665868	0,626566	0,705171	1,4	24,8	110	1	NEGRO	AZUL
50mm x 100m HDPE PN-16 SDR-11	PE100	HDPE	50	100	PN-16 SDR-11	50,0	50,4	4,6	5,2	0,665868	0,626566	0,705171	1,4	24,8	110	1	NEGRO	AZUL
50mm x 150m HDPE PN-16 SDR-11	PE100	HDPE	50	150	PN-16 SDR-11	50,0	50,4	4,6	5,2	0,665868	0,626566	0,705171	1,4	24,8	110	1	NEGRO	AZUL
50mm x 200m HDPE PN-16 SDR-11	PE100	HDPE	50	200	PN-16 SDR-11	50,0	50,4	4,6	5,2	0,665868	0,626566	0,705171	1,4	24,8	110	1	NEGRO	AZUL
50mm x 6m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	50	6	PN-16 SDR-11	50,0	50,4	4,6	5,2	0,665868	0,626566	0,705171	1,4	24,8	110	1		
50mm x 12m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	50	12	PN-16 SDR-11	50,0	50,4	4,6	5,2	0,665868	0,626566	0,705171	1,4	24,8	110	1		
50mm x 50m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	50	50	PN-16 SDR-11	50,0	50,4	4,6	5,2	0,665868	0,626566	0,705171	1,4	24,8	110	1		
50mm x 100m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	50	100	PN-16 SDR-11	50,0	50,4	4,6	5,2	0,665868	0,626566	0,705171	1,4	24,8	110	1		
50mm x 150m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	50	150	PN-16 SDR-11	50,0	50,4	4,6	5,2	0,665868	0,626566	0,705171	1,4	24,8	110	1		
50mm x 200m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	50	200	PN-16 SDR-11	50,0	50,4	4,6	5,2	0,665868	0,626566	0,705171	1,4	24,8	110	1		
50mm x 6m HDPE PN-12,5 SDR-13,6	PE100	HDPE	50	6	PN-12,5 SDR-13,6	50,0	50,4	3,7	4,2	0,548065	0,513967	0,582162	1,4	19,7	110	1	NEGRO	AZUL
50mm x 12m HDPE PN-12,5 SDR-13,6	PE100	HDPE	50	12	PN-12,5 SDR-13,6	50,0	50,4	3,7	4,2	0,548065	0,513967	0,582162	1,4	19,7	110	1	NEGRO	AZUL
50mm x 50m HDPE PN-12,5 SDR-13,6	PE100	HDPE	50	50	PN-12,5 SDR-13,6	50,0	50,4	3,7	4,2	0,548065	0,513967	0,582162	1,4	19,7	110	1	NEGRO	AZUL
50mm x 100m HDPE PN-12,5 SDR-13,6	PE100	HDPE	50	100	PN-12,5 SDR-13,6	50,0	50,4	3,7	4,2	0,548065	0,513967	0,582162	1,4	19,7	110	1	NEGRO	AZUL
50mm x 150m HDPE PN-12,5 SDR-13,6	PE100	HDPE	50	150	PN-12,5 SDR-13,6	50,0	50,4	3,7	4,2	0,548065	0,513967	0,582162	1,4	19,7	110	1	NEGRO	AZUL
50mm x 200m HDPE PN-12,5 SDR-13,6	PE100	HDPE	50	200	PN-12,5 SDR-13,6	50,0	50,4	3,7	4,2	0,548065	0,513967	0,582162	1,4	19,7	110	1	NEGRO	AZUL
50mm x 6m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	50	6	PN-12,5 SDR-13,6	50,0	50,4	3,7	4,2	0,548065	0,513967	0,582162	1,4	19,7	110	1		
50mm x 12m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	50	12	PN-12,5 SDR-13,6	50,0	50,4	3,7	4,2	0,548065	0,513967	0,582162	1,4	19,7	110	1		
50mm x 50m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	50	50	PN-12,5 SDR-13,6	50,0	50,4	3,7	4,2	0,548065	0,513967	0,582162	1,4	19,7	110	1		
50mm x 100m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	50	100	PN-12,5 SDR-13,6	50,0	50,4	3,7	4,2	0,548065	0,513967	0,582162	1,4	19,7	110	1		
50mm x 150m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	50	150	PN-12,5 SDR-13,6	50,0	50,4	3,7	4,2	0,548065	0,513967	0,582162	1,4	19,7	110	1		
50mm x 200m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	50	200	PN-12,5 SDR-13,6	50,0	50,4	3,7	4,2	0,548065	0,513967	0,582162	1,4	19,7	110	1		
