Producto	Material	Línea	D nominal (mm)	Largo (m)	PN - Serie	D mínimo (mm)	D máximo (mm)	Espesor mínimo (mm)	Espesor máximo (mm)	Peso (kg/m)	Desv. Peso debajo	Desv. Peso arriba	Ovalidad (mm)	PHI 20°C (bar)	T Horno (°C)	Tiempo acond. (h)	Color Tubería	Color Línea
75mm x 6m R3 PN-16 S-3,2	PP-R	R3	75	6	PN-16 S-3,2	75,1	75,7	10,3	11,5	1,998357	1,8976	2,0991	1,6	50	135	2	GRIS(R3)	ROJO
75mm x 6m R3 PN-10 S-5	PP-R	R3	75	6	PN-10 S-5	75,1	75,7	6,8	7,6	1,395981	1,3205	1,4715	1,6	32	135	1	GRIS(R3)	AZUL
75mm x 6m PP-H PN-16 S-3,2	PP-H	PP-H	75	6	PN-16 S-3,2	75,1	75,7	10,3	11,5	1,998357	1,8976	2,0991	1,6	65,6	150	2	GRIS(PP-H)	SIN LÍNEA
75mm x 6m SMART PIPE/PP-RCT PN-16 S-3,2	PP-RCT	SMART PIPE/PP-RCT	75	6	PN-16 S-3,2	75,1	75,7	10,3	11,5	1,989525	1,8892	2,0898	1,6	47	135	2	GRIS(BETA)	ROJO
75mm x 6m POLI-ONE/BETA PN-16 S-3,2	PP-RCT	POLI-ONE/BETA	75	6	PN-16 S-3,2	75,1	75,7	10,3	11,5	1,989525	1,8892	2,0898	1,6	47	135	2	GRIS(P1)	ROJO
75mm x 6m POLI-ONE PN-20 S-2,5	PP-R	POLI-ONE	75	6	PN-20 S-2,5	75,1	75,7	12,7	14,1	2,361284	2,2531	2,4694	1,6	64	135	2	GRIS(P1)	VERDE
75mm x 6m POLI-ONE PN-16 S-3,2	PP-R	POLI-ONE	75	6	PN-16 S-3,2	75,1	75,7	10,3	11,5	1,998357	1,8976	2,0991	1,6	50	135	2	GRIS(P1)	ROJO
75mm x 6m POLI-ONE PN-10 S-5	PP-R	POLI-ONE	75	6	PN-10 S-5	75,1	75,7	6,8	7,6	1,395981	1,3205	1,4715	1,6	32	135	1	GRIS(P1)	AZUL
75mm x 6m HDPE PN-6 SDR-27,6	PE100	HDPE	75	6	PN-6 SDR-27,6	75,0	75,5	2,8	3,3	0,660678	0,606524	0,714832	1,6	9,3	110	1	NEGRO	AZUL
75mm x 12m HDPE PN-6 SDR-27,6	PE100	HDPE	75	12	PN-6 SDR-27,6	75,0	75,5	2,8	3,3	0,660678	0,606524	0,714832	1,6	9,3	110	1	NEGRO	AZUL
75mm x 50m HDPE PN-6 SDR-27,6	PE100	HDPE	75	50	PN-6 SDR-27,6	75,0	75,5	2,8	3,3	0,660678	0,606524	0,714832	1,6	9,3	110	1	NEGRO	AZUL
75mm x 100m HDPE PN-6 SDR-27,6	PE100	HDPE	75	100	PN-6 SDR-27,6	75,0	75,5	2,8	3,3	0,660678	0,606524	0,714832	1,6	9,3	110	1	NEGRO	AZUL
75mm x 150m HDPE PN-6 SDR-27,6	PE100	HDPE	75	150	PN-6 SDR-27,6	75,0	75,5	2,8	3,3	0,660678	0,606524	0,714832	1,6	9,3	110	1	NEGRO	AZUL
75mm x 6m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	75	6	PN-6 SDR-27,6	75,0	75,5	2,8	3,3	0,660678	0,606524	0,714832	1,6	9,3	110	1		
75mm x 12m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	75	12	PN-6 SDR-27,6	75,0	75,5	2,8	3,3	0,660678	0,606524	0,714832	1,6	9,3	110	1		
75mm x 50m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	75	50	PN-6 SDR-27,6	75,0	75,5	2,8	3,3	0,660678	0,606524	0,714832	1,6	9,3	110	1		
75mm x 100m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	75	100	PN-6 SDR-27,6	75,0	75,5	2,8	3,3	0,660678	0,606524	0,714832	1,6	9,3	110	1		
75mm x 150m SMARTCOLORS PN-6 SDR-27,6	PE100	SMARTCOLORS - HDPE	75	150	PN-6 SDR-27,6	75,0	75,5	2,8	3,3	0,660678	0,606524	0,714832	1,6	9,3	110	1		
75mm x 6m HDPE PN-20 SDR-9	PE100	HDPE	75	6	PN-20 SDR-9	75,0	75,5	8,4	9,4	1,771299	1,678442	1,864156	1,6	31	110	2	NEGRO	AZUL
75mm x 12m HDPE PN-20 SDR-9	PE100	HDPE	75	12	PN-20 SDR-9	75,0	75,5	8,4	9,4	1,771299	1,678442	1,864156	1,6	31	110	2	NEGRO	AZUL
75mm x 50m HDPE PN-20 SDR-9	PE100	HDPE	75	50	PN-20 SDR-9	75,0	75,5	8,4	9,4	1,771299	1,678442	1,864156	1,6	31	110	2	NEGRO	AZUL
75mm x 100m HDPE PN-20 SDR-9	PE100	HDPE	75	100	PN-20 SDR-9	75,0	75,5	8,4	9,4	1,771299	1,678442	1,864156	1,6	31	110	2	NEGRO	AZUL
75mm x 150m HDPE PN-20 SDR-9	PE100	HDPE	75	150	PN-20 SDR-9	75,0	75,5	8,4	9,4	1,771299	1,678442	1,864156	1,6	31	110	2	NEGRO	AZUL
75mm x 6m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	75	6	PN-20 SDR-9	75,0	75,5	8,4	9,4	1,771299	1,678442	1,864156	1,6	31	110	2		
75mm x 12m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	75	12	PN-20 SDR-9	75,0	75,5	8,4	9,4	1,771299	1,678442	1,864156	1,6	31	110	2		
75mm x 50m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	75	50	PN-20 SDR-9	75,0	75,5	8,4	9,4	1,771299	1,678442	1,864156	1,6	31	110	2		
75mm x 100m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	75	100	PN-20 SDR-9	75,0	75,5	8,4	9,4	1,771299	1,678442	1,864156	1,6	31	110	2		
75mm x 150m SMARTCOLORS PN-20 SDR-9	PE100	SMARTCOLORS - HDPE	75	150	PN-20 SDR-9	75,0	75,5	8,4	9,4	1,771299	1,678442	1,864156	1,6	31	110	2		
75mm x 6m HDPE PN-16 SDR-11	PE100	HDPE	75	6	PN-16 SDR-11	75,0	75,5	6,8	7,6	1,469807	1,391381	1,548233	1,6	24,8	110	1	NEGRO	AZUL
75mm x 12m HDPE PN-16 SDR-11	PE100	HDPE	75	12	PN-16 SDR-11	75,0	75,5	6,8	7,6	1,469807	1,391381	1,548233	1,6	24,8	110	1	NEGRO	AZUL
75mm x 50m HDPE PN-16 SDR-11	PE100	HDPE	75	50	PN-16 SDR-11	75,0	75,5	6,8	7,6	1,469807	1,391381	1,548233	1,6	24,8	110	1	NEGRO	AZUL
75mm x 100m HDPE PN-16 SDR-11	PE100	HDPE	75	100	PN-16 SDR-11	75,0	75,5	6,8	7,6	1,469807	1,391381	1,548233	1,6	24,8	110	1	NEGRO	AZUL
75mm x 150m HDPE PN-16 SDR-11	PE100	HDPE	75	150	PN-16 SDR-11	75,0	75,5	6,8	7,6	1,469807	1,391381	1,548233	1,6	24,8	110	1	NEGRO	AZUL
75mm x 6m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	75	6	PN-16 SDR-11	75,0	75,5	6,8	7,6	1,469807	1,391381	1,548233	1,6	24,8	110	1		
75mm x 12m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	75	12	PN-16 SDR-11	75,0	75,5	6,8	7,6	1,469807	1,391381	1,548233	1,6	24,8	110	1		
75mm x 50m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	75	50	PN-16 SDR-11	75,0	75,5	6,8	7,6	1,469807	1,391381	1,548233	1,6	24,8	110	1		
75mm x 100m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	75	100	PN-16 SDR-11	75,0	75,5	6,8	7,6	1,469807	1,391381	1,548233	1,6	24,8	110	1		
75mm x 150m SMARTCOLORS PN-16 SDR-11	PE100	SMARTCOLORS - HDPE	75	150	PN-16 SDR-11	75,0	75,5	6,8	7,6	1,469807	1,391381	1,548233	1,6	24,8	110	1		
75mm x 6m HDPE PN-12,5 SDR-13,6	PE100	HDPE	75	6	PN-12,5 SDR-13,6	75,0	75,5	5,6	6,3	1,236990	1,166005	1,307975	1,6	19,7	110	1	NEGRO	AZUL
75mm x 12m HDPE PN-12,5 SDR-13,6	PE100	HDPE	75	12	PN-12,5 SDR-13,6	75,0	75,5	5,6	6,3	1,236990	1,166005	1,307975	1,6	19,7	110	1	NEGRO	AZUL
75mm x 50m HDPE PN-12,5 SDR-13,6	PE100	HDPE	75	50	PN-12,5 SDR-13,6	75,0	75,5	5,6	6,3	1,236990	1,166005	1,307975	1,6	19,7	110	1	NEGRO	AZUL
75mm x 100m HDPE PN-12,5 SDR-13,6	PE100	HDPE	75	100	PN-12,5 SDR-13,6	75,0	75,5	5,6	6,3	1,236990	1,166005	1,307975	1,6	19,7	110	1	NEGRO	AZUL
75mm x 150m HDPE PN-12,5 SDR-13,6	PE100	HDPE	75	150	PN-12,5 SDR-13,6	75,0	75,5	5,6	6,3	1,236990	1,166005	1,307975	1,6	19,7	110	1	NEGRO	AZUL
